,source_origin,target_origin,source,target,weight,distance
38691,block_island_ri,white_plains_ny,"Block Island, RI","White Plains, NY",6.0,111.0
38692,manokotak_ak,kipnuk_ak,"Manokotak, AK","Kipnuk, AK",6.0,188.0
38693,sitka_ak,kake_ak,"Sitka, AK","Kake, AK",6.0,54.0
38694,ocean_city_md,somerville_nj,"Ocean City, MD","Somerville, NJ",6.0,162.0
38695,platinum_ak,tununak_ak,"Platinum, AK","Tununak, AK",6.0,162.0
38696,eagle_co,fort_collinsloveland_co,"Eagle, CO","Fort Collins/Loveland, CO",7.0,115.0
38697,greenville_ms,fort_smith_ar,"Greenville, MS","Fort Smith, AR",7.0,232.0
38698,cincinnati_oh,appleton_wi,"Cincinnati, OH","Appleton, WI",7.0,411.0
38699,las_vegas_nm,teterboro_nj,"Las Vegas, NM","Teterboro, NJ",7.0,1718.0
38700,nondalton_ak,kenai_ak,"Nondalton, AK","Kenai, AK",7.0,130.0
38701,chicago_il,schenectady_ny,"Chicago, IL","Schenectady, NY",7.0,715.0
38702,albuquerque_nm,great_falls_mt,"Albuquerque, NM","Great Falls, MT",7.0,893.0
38703,kotlik_ak,tuntutuliak_ak,"Kotlik, AK","Tuntutuliak, AK",7.0,188.0
38704,homer_ak,pedro_bay_ak,"Homer, AK","Pedro Bay, AK",7.0,93.0
38705,greer_sc,san_angelo_tx,"Greer, SC","San Angelo, TX",7.0,1086.0
38706,twin_hills_ak,chevak_ak,"Twin Hills, AK","Chevak, AK",7.0,249.0
38707,crescent_city_ca,seattle_wa,"Crescent City, CA","Seattle, WA",7.0,408.0
38708,lonely_ak,nuiqsut_ak,"Lonely, AK","Nuiqsut, AK",7.0,71.0
38709,circle_hot_springs_ak,venetie_ak,"Circle Hot Springs, AK","Venetie, AK",7.0,118.0
38710,white_plains_ny,sioux_city_ia,"White Plains, NY","Sioux City, IA",7.0,1172.0
38711,waterloo_ia,mason_city_ia,"Waterloo, IA","Mason City, IA",7.0,63.0
38712,sioux_city_ia,white_plains_ny,"Sioux City, IA","White Plains, NY",7.0,1172.0
38713,kenai_ak,international_seafoods_ak,"Kenai, AK","International Seafoods, AK",7.0,273.0
38714,pueblo_co,hays_ks,"Pueblo, CO","Hays, KS",7.0,285.0
38715,dallasfort_worth_tx,lancaster_ca,"Dallas/Fort Worth, TX","Lancaster, CA",7.0,1206.0
38716,hilton_head_sc,orlando_fl,"Hilton Head, SC","Orlando, FL",7.0,264.0
38717,anchorage_ak,east_farmingdale_ny,"Anchorage, AK","East Farmingdale, NY",7.0,3393.0
38718,rangeley_me,rochester_ny,"Rangeley, ME","Rochester, NY",7.0,372.0
38719,greenville_sc,wadesboro_nc,"Greenville, SC","Wadesboro, NC",7.0,129.0
38720,hays_ks,joplin_mo,"Hays, KS","Joplin, MO",7.0,286.0
38721,wadesboro_nc,greenville_sc,"Wadesboro, NC","Greenville, SC",7.0,129.0
38722,kamuela_hi,honolulu_hi,"Kamuela, HI","Honolulu, HI",7.0,172.0
38723,hilton_head_sc,charlottesville_va,"Hilton Head, SC","Charlottesville, VA",7.0,427.0
38724,pinedale_wy,white_plains_ny,"Pinedale, WY","White Plains, NY",7.0,1850.0
38725,camarillo_ca,las_vegas_nv,"Camarillo, CA","Las Vegas, NV",7.0,255.0
38726,rock_springs_wy,montrosedelta_co,"Rock Springs, WY","Montrose/Delta, CO",7.0,222.0
38727,st_george_ut,twin_falls_id,"St. George, UT","Twin Falls, ID",7.0,375.0
38728,eagle_ak,chena_hot_springs_ak,"Eagle, AK","Chena Hot Springs, AK",7.0,145.0
38729,bedford_ma,westhampton_ny,"Bedford, MA","Westhampton, NY",7.0,132.0
38730,anvik_ak,scammon_bay_ak,"Anvik, AK","Scammon Bay, AK",7.0,183.0
38731,spokane_wa,albuquerque_nm,"Spokane, WA","Albuquerque, NM",8.0,1035.0
38732,dickinson_nd,pueblo_co,"Dickinson, ND","Pueblo, CO",8.0,593.0
38733,west_palm_beachpalm_beach_fl,key_west_fl,"West Palm Beach/Palm Beach, FL","Key West, FL",8.0,180.0
38734,anchorage_ak,coldfoot_ak,"Anchorage, AK","Coldfoot, AK",8.0,421.0
38735,vancouver_wa,sacramento_ca,"Vancouver, WA","Sacramento, CA",8.0,494.0
38736,sacramento_ca,vancouver_wa,"Sacramento, CA","Vancouver, WA",8.0,494.0
38737,columbia_ca,sacramento_ca,"Columbia, CA","Sacramento, CA",8.0,67.0
38738,wales_ak,elim_ak,"Wales, AK","Elim, AK",8.0,184.0
38739,liberal_ks,salina_ks,"Liberal, KS","Salina, KS",8.0,217.0
38740,circle_ak,galena_ak,"Circle, AK","Galena, AK",8.0,380.0
38741,monroe_la,greenville_ms,"Monroe, LA","Greenville, MS",8.0,91.0
38742,cold_bay_ak,new_stuyahok_ak,"Cold Bay, AK","New Stuyahok, AK",8.0,357.0
38743,white_plains_ny,butler_pa,"White Plains, NY","Butler, PA",8.0,327.0
38744,annapolis_md,annapolis_md,"Annapolis, MD","Annapolis, MD",8.0,0.0
38745,galena_ak,circle_ak,"Galena, AK","Circle, AK",8.0,380.0
38746,lancaster_ca,dallasfort_worth_tx,"Lancaster, CA","Dallas/Fort Worth, TX",8.0,1206.0
38747,south_naknek_ak,toksook_ak,"South Naknek, AK","Toksook, AK",8.0,310.0
38748,seattle_wa,corvallis_or,"Seattle, WA","Corvallis, OR",8.0,215.0
38749,kwigillingok_ak,aniak_ak,"Kwigillingok, AK","Aniak, AK",8.0,172.0
38750,barter_island_ak,barter_island_ak,"Barter Island, AK","Barter Island, AK",8.0,0.0
38751,akiak_ak,kwigillingok_ak,"Akiak, AK","Kwigillingok, AK",8.0,99.0
38752,pedro_bay_ak,homer_ak,"Pedro Bay, AK","Homer, AK",8.0,93.0
38753,kivalina_ak,point_lay_ak,"Kivalina, AK","Point Lay, AK",8.0,144.0
38754,coldfoot_ak,galbraith_lake_ak,"Coldfoot, AK","Galbraith Lake, AK",8.0,87.0
38755,pellston_mi,minneapolis_mn,"Pellston, MI","Minneapolis, MN",8.0,414.0
38756,quincy_il,burlington_ia,"Quincy, IL","Burlington, IA",8.0,58.0
38757,kobuk_ak,kivalina_ak,"Kobuk, AK","Kivalina, AK",8.0,213.0
38758,sacramento_ca,columbia_ca,"Sacramento, CA","Columbia, CA",8.0,67.0
