YearMonth,source,target,Rides planned,Final arrival delay,Final arrival cancelled,Completely cancelled,Intermediate arrival delays,Proportion delayed,Significant Delay
2019-01,Houten Castellum,Utrecht Centraal,396,67,47,47,69,0.19197707736389685,True
2019-01,Lage Zwaluwe,Dordrecht,4,1,0,0,1,0.25,True
2019-01,Leeuwarden,Amsterdam Zuid,32,2,0,0,13,0.0625,False
2019-01,Leeuwarden,Den Haag Centraal,472,120,10,0,360,0.2542372881355932,True
2019-01,Leeuwarden,Meppel,825,158,11,4,264,0.19244823386114496,True
2019-01,Leeuwarden,Rotterdam Centraal,513,113,42,0,338,0.2202729044834308,True
2019-01,Leeuwarden,Schiphol Airport,35,17,1,0,22,0.4857142857142857,True
2019-01,Leeuwarden,Utrecht Centraal,31,8,0,0,12,0.25806451612903225,True
2019-01,Leeuwarden,Zwolle,31,13,0,0,19,0.41935483870967744,True
2019-01,Leiden Centraal,Alphen a/d Rijn,396,29,56,55,30,0.08504398826979472,False
2019-01,Leiden Centraal,Amsterdam Bijlmer ArenA,16,6,0,0,9,0.375,True
2019-01,Leiden Centraal,Amsterdam Sloterdijk,8,0,8,0,0,0.0,False
2019-01,Leiden Centraal,Den Haag Centraal,480,45,4,3,83,0.09433962264150944,False
2019-01,Leiden Centraal,Dordrecht,20,2,3,3,7,0.11764705882352941,False
2019-01,Leiden Centraal,Haarlem,401,81,10,10,131,0.2071611253196931,True
2019-01,Leiden Centraal,Hoofddorp,296,0,296,0,0,0.0,False
2019-01,Leiden Centraal,Hoorn Kersenboogerd,734,185,16,5,596,0.25377229080932784,True
2019-01,Leiden Centraal,Utrecht Centraal,1159,279,17,12,542,0.24324324324324326,True
2019-01,Lelystad Centrum,Amsterdam Centraal,112,15,0,0,45,0.13392857142857142,False
2019-01,Lelystad Centrum,Amsterdam Zuid,4,0,0,0,2,0.0,False
2019-01,Lelystad Centrum,Dordrecht,586,101,53,51,397,0.18878504672897195,True
2019-01,Lelystad Centrum,Groningen,27,8,1,0,13,0.2962962962962963,True
2019-01,Lelystad Centrum,Hoofddorp,27,3,0,0,12,0.1111111111111111,False
2019-01,Lelystad Centrum,Leeuwarden,22,4,0,0,7,0.18181818181818182,False
2019-01,Lelystad Centrum,Utrecht Centraal,8,1,0,0,4,0.125,False
